id,source,page,category,visibleName,width,height,quality,use,rightsStatus,permissionRequired,origin,location,date
profile-1-p05-04,SignAds Profile.. (1).pdf,5,PU Color letters,navio,673,310,small-card,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p05-05,SignAds Profile.. (1).pdf,5,PU Color letters,Yashoda,567,488,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p05-06,SignAds Profile.. (1).pdf,5,PU Color letters,Sukhad Home,827,372,small-card,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p06-02,SignAds Profile.. (1).pdf,6,Metal Letters,Aabhushan,854,589,small-card,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p06-03,SignAds Profile.. (1).pdf,6,Metal Letters,Yashoda Hospital,816,376,small-card,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p06-04,SignAds Profile.. (1).pdf,6,Metal Letters,Gehana,1152,302,large-card,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p06-05,SignAds Profile.. (1).pdf,6,Metal Letters,Maheshwari Jewellers,821,376,small-card,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p06-06,SignAds Profile.. (1).pdf,6,Metal Letters,Aabhushan,695,521,small-card,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p07-02,SignAds Profile.. (1).pdf,7,Backlit (Glow sign Board ),CSB Bank,1280,590,large-card,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p07-03,SignAds Profile.. (1).pdf,7,Backlit (Glow sign Board ),HDFC Bank,1100,534,large-card,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p07-04,SignAds Profile.. (1).pdf,7,Backlit (Glow sign Board ),CSB Bank,1100,619,large-card,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p07-05,SignAds Profile.. (1).pdf,7,Backlit (Glow sign Board ),IndusInd Bank,1064,598,large-card,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p08-02,SignAds Profile.. (1).pdf,8,Building Signage with Structure,Gurukrupa Realcon,1000,750,large-card,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p08-03,SignAds Profile.. (1).pdf,8,Building Signage with Structure,Gaurav Lords,784,441,small-card,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p08-04,SignAds Profile.. (1).pdf,8,Building Signage with Structure,Gaurav Lords,713,535,small-card,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p08-05,SignAds Profile.. (1).pdf,8,Building Signage with Structure,Not legible,576,1280,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p08-06,SignAds Profile.. (1).pdf,8,Building Signage with Structure,Rajasthan Bhavan,825,381,small-card,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p09-02,SignAds Profile.. (1).pdf,9,Safety And Directional signages,6J (zone marker),510,683,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p09-03,SignAds Profile.. (1).pdf,9,Safety And Directional signages,CIDCO,711,533,small-card,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p09-04,SignAds Profile.. (1).pdf,9,Safety And Directional signages,No commercial name,311,623,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p09-05,SignAds Profile.. (1).pdf,9,Safety And Directional signages,No commercial name,374,548,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p09-06,SignAds Profile.. (1).pdf,9,Safety And Directional signages,Customs,857,577,small-card,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p10-02,SignAds Profile.. (1).pdf,10,Indoor and outdoor branding and Signages,TESCON,1280,720,large-card,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p10-03,SignAds Profile.. (1).pdf,10,Indoor and outdoor branding and Signages,Laptop World,709,532,small-card,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p10-04,SignAds Profile.. (1).pdf,10,Indoor and outdoor branding and Signages,No commercial name,1029,578,large-card,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p10-05,SignAds Profile.. (1).pdf,10,Indoor and outdoor branding and Signages,GAV / campaign text partially legible,1280,721,large-card,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p11-02,SignAds Profile.. (1).pdf,11,Lollipop,Dentist (generic),540,843,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p11-03,SignAds Profile.. (1).pdf,11,Lollipop,Multiple signs; not reliably legible,582,776,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p11-04,SignAds Profile.. (1).pdf,11,Lollipop,TESCON,498,885,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p11-05,SignAds Profile.. (1).pdf,11,Lollipop,Dentist (generic),540,641,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p12-02,SignAds Profile.. (1).pdf,12,Hoardings  (Advertising banners ),Outdoor Advertising (generic),300,168,thumbnail-only,Internal reference only; authorship unverified,permission-pending,True,reference-image,,
profile-1-p12-03,SignAds Profile.. (1).pdf,12,Hoardings  (Advertising banners ),Not reliably legible,500,500,thumbnail-only,Internal reference only; authorship unverified,permission-pending,True,reference-image,,
profile-1-p12-04,SignAds Profile.. (1).pdf,12,Hoardings  (Advertising banners ),Paragon,253,199,thumbnail-only,Internal reference only; authorship unverified,permission-pending,True,reference-image,,
profile-1-p12-05,SignAds Profile.. (1).pdf,12,Hoardings  (Advertising banners ),Hyundai Eon,600,356,small-card,Internal reference only; authorship unverified,permission-pending,True,reference-image,,
profile-1-p13-02,SignAds Profile.. (1).pdf,13,Canter Advertising ( Tempo Advertising ),Not reliably legible,685,682,small-card,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p13-03,SignAds Profile.. (1).pdf,13,Canter Advertising ( Tempo Advertising ),GIVA,960,1280,small-card,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p13-04,SignAds Profile.. (1).pdf,13,Canter Advertising ( Tempo Advertising ),Not reliably legible,960,697,small-card,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p13-05,SignAds Profile.. (1).pdf,13,Canter Advertising ( Tempo Advertising ),Not reliably legible,768,540,small-card,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p14-02,SignAds Profile.. (1).pdf,14,Autorickshaw  Advertising,MPC (visible),483,516,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p14-03,SignAds Profile.. (1).pdf,14,Autorickshaw  Advertising,Polaris Hospital,768,753,small-card,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p14-04,SignAds Profile.. (1).pdf,14,Autorickshaw  Advertising,MedPlus,631,842,small-card,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p14-05,SignAds Profile.. (1).pdf,14,Autorickshaw  Advertising,Not reliably legible,960,1054,small-card,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p15-02,SignAds Profile.. (1).pdf,15,Street  light Pole advertising,Not reliably legible,800,415,small-card,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p15-03,SignAds Profile.. (1).pdf,15,Street  light Pole advertising,Kidz N Kidz,526,884,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p15-04,SignAds Profile.. (1).pdf,15,Street  light Pole advertising,Not legible,1280,858,large-card,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p15-05,SignAds Profile.. (1).pdf,15,Street  light Pole advertising,Not reliably legible,869,596,small-card,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p16-02,SignAds Profile.. (1).pdf,16,Bus Stop Advertising,MOC,1600,729,large-card,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p16-03,SignAds Profile.. (1).pdf,16,Bus Stop Advertising,Street OG / TVS,1280,570,large-card,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p16-04,SignAds Profile.. (1).pdf,16,Bus Stop Advertising,Street OG / TVS,515,388,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p16-05,SignAds Profile.. (1).pdf,16,Bus Stop Advertising,MOC,828,466,small-card,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p17-02,SignAds Profile.. (1).pdf,17,Buses  Advertising,Not reliably legible,651,683,small-card,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p17-03,SignAds Profile.. (1).pdf,17,Buses  Advertising,Al Baik,1040,780,large-card,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p17-04,SignAds Profile.. (1).pdf,17,Buses  Advertising,Dr Agarwals,910,512,small-card,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p17-05,SignAds Profile.. (1).pdf,17,Buses  Advertising,Dr Agarwals,683,720,small-card,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p17-06,SignAds Profile.. (1).pdf,17,Buses  Advertising,Dr Agarwals,831,467,small-card,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p17-07,SignAds Profile.. (1).pdf,17,Buses  Advertising,Not reliably legible,372,279,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p18-02,SignAds Profile.. (1).pdf,18,LED screens,Generic display mockup,615,683,small-card,Internal reference only; authorship unverified,permission-pending,True,reference-image,,
profile-1-p18-03,SignAds Profile.. (1).pdf,18,LED screens,Generic display mockup,225,225,thumbnail-only,Internal reference only; authorship unverified,permission-pending,True,reference-image,,
profile-1-p18-04,SignAds Profile.. (1).pdf,18,LED screens,Generic display mockup,225,224,thumbnail-only,Internal reference only; authorship unverified,permission-pending,True,reference-image,,
profile-1-p18-05,SignAds Profile.. (1).pdf,18,LED screens,NEOYON / reference collage,300,168,thumbnail-only,Internal reference only; authorship unverified,permission-pending,True,reference-image,,
profile-1-p19-02,SignAds Profile.. (1).pdf,19,NO Parking Boards Advertising,Disha Computer Institute,910,683,small-card,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p19-03,SignAds Profile.. (1).pdf,19,NO Parking Boards Advertising,Potato,526,701,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p19-04,SignAds Profile.. (1).pdf,19,NO Parking Boards Advertising,Porter,584,576,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p19-05,SignAds Profile.. (1).pdf,19,NO Parking Boards Advertising,Ajeya,585,438,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p19-06,SignAds Profile.. (1).pdf,19,NO Parking Boards Advertising,SkoolEase,585,438,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p20-02,SignAds Profile.. (1).pdf,20,Bicycle  Advertising,Not reliably legible,681,884,small-card,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p20-03,SignAds Profile.. (1).pdf,20,Bicycle  Advertising,Not reliably legible,720,781,small-card,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p21-02,SignAds Profile.. (1).pdf,21,Railway Advertising,Not reliably legible,512,683,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p21-03,SignAds Profile.. (1).pdf,21,Railway Advertising,Not reliably legible,542,723,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p21-04,SignAds Profile.. (1).pdf,21,Railway Advertising,Bata,876,750,small-card,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p21-05,SignAds Profile.. (1).pdf,21,Railway Advertising,Multiple names; not reliably legible,1000,520,large-card,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-1-p22-02,SignAds Profile.. (1).pdf,22,ALL PRINTING SERVICES DONE HERE,Generic printing collage,500,500,thumbnail-only,Internal reference only; authorship unverified,permission-pending,True,reference-image,,
profile-1-p22-03,SignAds Profile.. (1).pdf,22,ALL PRINTING SERVICES DONE HERE,Generic stationery mockup,460,480,thumbnail-only,Internal reference only; authorship unverified,permission-pending,True,reference-image,,
profile-1-p23-02,SignAds Profile.. (1).pdf,23,Thank You…,SignAds,591,570,thumbnail-only,Internal brand/reference asset,permission-pending,False,pdf-extraction,,
profile-2-p01-01,SignAds venture Profile.pdf,1,Profile background,SignAds,1536,864,large-card,Internal brand/reference asset,permission-pending,False,pdf-extraction,,
profile-2-p01-02,SignAds venture Profile.pdf,1,Brand identity,SignAds,564,151,thumbnail-only,Internal brand/reference asset,permission-pending,False,pdf-extraction,,
profile-2-p03-02,SignAds venture Profile.pdf,3,LED Sign board  / Shop boards,Shubham Caterers,309,411,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p03-03,SignAds venture Profile.pdf,3,LED Sign board  / Shop boards,Shubham Caterers,309,412,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p03-04,SignAds venture Profile.pdf,3,LED Sign board  / Shop boards,Patharecha Mahaganpati (visible Marathi text),549,196,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p03-05,SignAds venture Profile.pdf,3,LED Sign board  / Shop boards,Patharecha Mahaganpati (visible Marathi text),460,344,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p03-06,SignAds venture Profile.pdf,3,LED Sign board  / Shop boards,Turde Wine Centre,392,164,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p04-02,SignAds venture Profile.pdf,4,ACP cladding Work ( Aluminum composite panel ),vivo (visible brand),270,359,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p04-03,SignAds venture Profile.pdf,4,ACP cladding Work ( Aluminum composite panel ),Multiple names; not reliably legible,397,397,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p04-04,SignAds venture Profile.pdf,4,ACP cladding Work ( Aluminum composite panel ),Not legible,300,442,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p04-05,SignAds venture Profile.pdf,4,ACP cladding Work ( Aluminum composite panel ),Anmol Electronics,207,276,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p05-02,SignAds venture Profile.pdf,5,PU Color letters,Neelkanth Luxuria,479,359,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p05-03,SignAds venture Profile.pdf,5,PU Color letters,Sukhad Home,499,230,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p05-04,SignAds venture Profile.pdf,5,PU Color letters,navio,529,244,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p05-05,SignAds venture Profile.pdf,5,PU Color letters,Yashoda,567,488,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p05-06,SignAds venture Profile.pdf,5,PU Color letters,Sukhad Home,397,178,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p06-02,SignAds venture Profile.pdf,6,Metal Letters,Aabhushan,455,339,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p06-03,SignAds venture Profile.pdf,6,Metal Letters,Yashoda Hospital,450,207,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p06-04,SignAds venture Profile.pdf,6,Metal Letters,Gehana,689,180,small-card,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p06-05,SignAds venture Profile.pdf,6,Metal Letters,Maheshwari Jewellers,503,230,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p06-06,SignAds venture Profile.pdf,6,Metal Letters,Aabhushan,333,250,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p07-02,SignAds venture Profile.pdf,7,Backlit (Glow sign Board ),CSB Bank,648,298,small-card,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p07-03,SignAds venture Profile.pdf,7,Backlit (Glow sign Board ),HDFC Bank,611,256,small-card,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p07-04,SignAds venture Profile.pdf,7,Backlit (Glow sign Board ),CSB Bank,528,297,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p07-05,SignAds venture Profile.pdf,7,Backlit (Glow sign Board ),IndusInd Bank,511,287,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p08-02,SignAds venture Profile.pdf,8,Building Signage with Structure,Gurukrupa Realcon,436,327,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p08-03,SignAds venture Profile.pdf,8,Building Signage with Structure,Gaurav Lords,461,259,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p08-04,SignAds venture Profile.pdf,8,Building Signage with Structure,Gaurav Lords,458,343,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p08-05,SignAds venture Profile.pdf,8,Building Signage with Structure,Not legible,257,571,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p08-06,SignAds venture Profile.pdf,8,Building Signage with Structure,Rajasthan Bhavan,520,240,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p09-02,SignAds venture Profile.pdf,9,Safety And Directional signages,6J (zone marker),390,521,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p09-03,SignAds venture Profile.pdf,9,Safety And Directional signages,CIDCO,379,284,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p09-04,SignAds venture Profile.pdf,9,Safety And Directional signages,No commercial name,149,299,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p09-05,SignAds venture Profile.pdf,9,Safety And Directional signages,No commercial name,218,319,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p09-06,SignAds venture Profile.pdf,9,Safety And Directional signages,Customs,501,264,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p10-02,SignAds venture Profile.pdf,10,Indoor and outdoor branding and Signages,TESCON,494,278,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p10-03,SignAds venture Profile.pdf,10,Indoor and outdoor branding and Signages,Laptop World,421,316,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p10-04,SignAds venture Profile.pdf,10,Indoor and outdoor branding and Signages,No commercial name,391,219,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p10-05,SignAds venture Profile.pdf,10,Indoor and outdoor branding and Signages,GAV / campaign text partially legible,694,391,small-card,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p11-02,SignAds venture Profile.pdf,11,Lollipop,Dentist (generic),204,306,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p11-03,SignAds venture Profile.pdf,11,Lollipop,Multiple signs; not reliably legible,431,575,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p11-04,SignAds venture Profile.pdf,11,Lollipop,TESCON,268,477,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p11-05,SignAds venture Profile.pdf,11,Lollipop,Dentist (generic),540,641,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p12-02,SignAds venture Profile.pdf,12,Hoardings  (Advertising banners ),Outdoor Advertising (generic),300,168,thumbnail-only,Internal reference only; authorship unverified,permission-pending,True,reference-image,,
profile-2-p12-03,SignAds venture Profile.pdf,12,Hoardings  (Advertising banners ),Not reliably legible,500,500,thumbnail-only,Internal reference only; authorship unverified,permission-pending,True,reference-image,,
profile-2-p12-04,SignAds venture Profile.pdf,12,Hoardings  (Advertising banners ),Paragon,253,199,thumbnail-only,Internal reference only; authorship unverified,permission-pending,True,reference-image,,
profile-2-p12-05,SignAds venture Profile.pdf,12,Hoardings  (Advertising banners ),Hyundai Eon,600,356,small-card,Internal reference only; authorship unverified,permission-pending,True,reference-image,,
profile-2-p13-02,SignAds venture Profile.pdf,13,Canter Advertising ( Tempo Advertising ),Not reliably legible,328,327,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p13-03,SignAds venture Profile.pdf,13,Canter Advertising ( Tempo Advertising ),GIVA,454,605,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p13-04,SignAds venture Profile.pdf,13,Canter Advertising ( Tempo Advertising ),Not reliably legible,408,296,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p13-05,SignAds venture Profile.pdf,13,Canter Advertising ( Tempo Advertising ),Not reliably legible,329,231,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p14-02,SignAds venture Profile.pdf,14,Autorickshaw  Advertising,MPC (visible),231,248,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p14-03,SignAds venture Profile.pdf,14,Autorickshaw  Advertising,Polaris Hospital,323,317,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p14-04,SignAds venture Profile.pdf,14,Autorickshaw  Advertising,MedPlus,303,404,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p14-05,SignAds venture Profile.pdf,14,Autorickshaw  Advertising,Not reliably legible,525,576,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p15-02,SignAds venture Profile.pdf,15,Street  light Pole advertising,Not reliably legible,383,199,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p15-03,SignAds venture Profile.pdf,15,Street  light Pole advertising,Kidz N Kidz,252,424,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p15-04,SignAds venture Profile.pdf,15,Street  light Pole advertising,Not legible,456,480,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p15-05,SignAds venture Profile.pdf,15,Street  light Pole advertising,Not reliably legible,500,343,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p16-02,SignAds venture Profile.pdf,16,Bus Stop Advertising,MOC,867,327,small-card,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p16-03,SignAds venture Profile.pdf,16,Bus Stop Advertising,Street OG / TVS,516,230,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p16-04,SignAds venture Profile.pdf,16,Bus Stop Advertising,Street OG / TVS,247,186,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p16-05,SignAds venture Profile.pdf,16,Bus Stop Advertising,MOC,448,252,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p17-02,SignAds venture Profile.pdf,17,Buses  Advertising,Not reliably legible,312,327,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
